date,auteur_com,source,commentaire,poste,date_post,auteur
30-10-2025,Kouande Jules Kouame,OLBCI,"Les banques ne nous volent pas , elles poussent plutôt les gestionnaire a mal travaillé pour être performant.",bonsoir a tous je viens par la presente publication denoncer un fait qui sapparente a une anarque de la part de la sgci des prelevements de produits auxquels je nai jamais souscrit sont faits sur mon compte il sagit de certicompte et yaconfort je me rends a mon agence pour comprendre les raisons de ces prelevements et demander une preuve de ma souscription effective a ces produits la responsable me fait savoir dans un premier temps que ces produits sont lies au compte courant et ont ete actives depuis louverture dudit compte apres insistance elle indique quils ont ete actives suite a un pret que jai demande ledit pret a ete rembourse depuis plusieurs annees mais ces prelevements continuent nayant pas souvenance davoir souscrit a de tels produits a la fin du pret jai donc sollicite les documents autorisant ces prelevements qui seraient des assurances dont mes ayants droits beneficieraient en cas de deces afin de les conserver comme preuve je me rends compte quil ny a aucun document portant ma signature pire cest maintenant quelle me tend des contrats vierges des differents produits que je dois renseigner ce que je refuse et depose une lettre de resiliation a sa demande bien que netant pas daccord je constate a ce jour que les prelevements continuent je precise que ces prelevements abusifs durent depuis 2018 alors que le compte a ete ouvert en 2011 je souhaite vraiment des eclaircis avant que je ne fasse le prochain poste dans lesquels je citerai lagence la responsable et la gestionnaire avec les preuves des prelevements,30-10-2025,Houlé Félix Daple
30-10-2025,Sindou Blekiss Tiene,OLBCI,Merci chers tous,bonsoir a tous je viens par la presente publication denoncer un fait qui sapparente a une anarque de la part de la sgci des prelevements de produits auxquels je nai jamais souscrit sont faits sur mon compte il sagit de certicompte et yaconfort je me rends a mon agence pour comprendre les raisons de ces prelevements et demander une preuve de ma souscription effective a ces produits la responsable me fait savoir dans un premier temps que ces produits sont lies au compte courant et ont ete actives depuis louverture dudit compte apres insistance elle indique quils ont ete actives suite a un pret que jai demande ledit pret a ete rembourse depuis plusieurs annees mais ces prelevements continuent nayant pas souvenance davoir souscrit a de tels produits a la fin du pret jai donc sollicite les documents autorisant ces prelevements qui seraient des assurances dont mes ayants droits beneficieraient en cas de deces afin de les conserver comme preuve je me rends compte quil ny a aucun document portant ma signature pire cest maintenant quelle me tend des contrats vierges des differents produits que je dois renseigner ce que je refuse et depose une lettre de resiliation a sa demande bien que netant pas daccord je constate a ce jour que les prelevements continuent je precise que ces prelevements abusifs durent depuis 2018 alors que le compte a ete ouvert en 2011 je souhaite vraiment des eclaircis avant que je ne fasse le prochain poste dans lesquels je citerai lagence la responsable et la gestionnaire avec les preuves des prelevements,30-10-2025,Houlé Félix Daple
30-10-2025,Lass Vainqueur,OLBCI,Je vais bientôt traîner la SGCI en justice. Tout ceux qui sont prêts à suivre la même voie veuillez vous joindre à moi.,bonsoir a tous je viens par la presente publication denoncer un fait qui sapparente a une anarque de la part de la sgci des prelevements de produits auxquels je nai jamais souscrit sont faits sur mon compte il sagit de certicompte et yaconfort je me rends a mon agence pour comprendre les raisons de ces prelevements et demander une preuve de ma souscription effective a ces produits la responsable me fait savoir dans un premier temps que ces produits sont lies au compte courant et ont ete actives depuis louverture dudit compte apres insistance elle indique quils ont ete actives suite a un pret que jai demande ledit pret a ete rembourse depuis plusieurs annees mais ces prelevements continuent nayant pas souvenance davoir souscrit a de tels produits a la fin du pret jai donc sollicite les documents autorisant ces prelevements qui seraient des assurances dont mes ayants droits beneficieraient en cas de deces afin de les conserver comme preuve je me rends compte quil ny a aucun document portant ma signature pire cest maintenant quelle me tend des contrats vierges des differents produits que je dois renseigner ce que je refuse et depose une lettre de resiliation a sa demande bien que netant pas daccord je constate a ce jour que les prelevements continuent je precise que ces prelevements abusifs durent depuis 2018 alors que le compte a ete ouvert en 2011 je souhaite vraiment des eclaircis avant que je ne fasse le prochain poste dans lesquels je citerai lagence la responsable et la gestionnaire avec les preuves des prelevements,30-10-2025,Houlé Félix Daple
30-10-2025,Benvinda Lavrador,OLBCI,C'est ce qu'on doit faire. À moi aussi on m' a fait un prélèvement depuis février et ils sont incapable de me dire de quoi il s' agit. Tous me disent ce que est une erreur mais pas de remboursement malgré les nombreuses réclamations.,bonsoir a tous je viens par la presente publication denoncer un fait qui sapparente a une anarque de la part de la sgci des prelevements de produits auxquels je nai jamais souscrit sont faits sur mon compte il sagit de certicompte et yaconfort je me rends a mon agence pour comprendre les raisons de ces prelevements et demander une preuve de ma souscription effective a ces produits la responsable me fait savoir dans un premier temps que ces produits sont lies au compte courant et ont ete actives depuis louverture dudit compte apres insistance elle indique quils ont ete actives suite a un pret que jai demande ledit pret a ete rembourse depuis plusieurs annees mais ces prelevements continuent nayant pas souvenance davoir souscrit a de tels produits a la fin du pret jai donc sollicite les documents autorisant ces prelevements qui seraient des assurances dont mes ayants droits beneficieraient en cas de deces afin de les conserver comme preuve je me rends compte quil ny a aucun document portant ma signature pire cest maintenant quelle me tend des contrats vierges des differents produits que je dois renseigner ce que je refuse et depose une lettre de resiliation a sa demande bien que netant pas daccord je constate a ce jour que les prelevements continuent je precise que ces prelevements abusifs durent depuis 2018 alors que le compte a ete ouvert en 2011 je souhaite vraiment des eclaircis avant que je ne fasse le prochain poste dans lesquels je citerai lagence la responsable et la gestionnaire avec les preuves des prelevements,30-10-2025,Houlé Félix Daple
31-10-2025,Aman Aime Bosson,OLBCI,"Ohouo Georges Achi
doyen cela veux dire que soit ton gestionnaire a souscrire à assurance études sans ton consentement et ce argent qui est prélevé vas sur compte assurance NSIA assurance .. jai été déjà victime de cela mais je vous conseille de laisser ça vas arrivé a 100mille et tu fais ta réclamation au plateau au service Risque de la général il vont te rembourser avec les intérêts",clients sgcique signifie presentation prelevement 7000f cest la premiere fois que je vois ce mot eclairez moi,29-10-2025,Ohouo Georges Achi
31-10-2025,Nda Cha Leontine Otchoumou,OLBCI,"Sgci quand tu resilies ton prz pour être en possession de ton argent c,est un véritable chemin de battant hummmm",clients sgcique signifie presentation prelevement 7000f cest la premiere fois que je vois ce mot eclairez moi,29-10-2025,Ohouo Georges Achi
31-10-2025,Mamadou Business,OLBCI,On peut pas fournir tout ces informations sans la complicité de la d'une personne a sein de la banque. Alors porter plainte.,danger danger larnaque electronique est entree dans les banques il faut se mefier notez comment ces arnaqueurs fonctionnent 1 ils utiliseront le nom de votre banque pour vous appeler par exemple uba boa ecobank societe generale orabank banque atlantique etc ils vous diront quils sont des agents de votre banque 2 ils vous diront que votre compte a des problemes 3 ils vous indiqueront votre numero de compte et le numero bvn 4 ils vous diront exactement la derniere transaction que vous avez faite ou vous lavez faite et votre dernier solde 5 le jour ou vous avez ouvert le compte et lemplacement 6 votre numero sur la carte atm mais pas le code secretcode pin atm 7 ils mentionneront vos noms et date de naissance 8 ils vous demanderont ensuite votre code pin atm ils peuvent meme vous donner les deux derniers chiffres sur votre carte atm si vous leur donnez le code secret code pin tout votre argent sera retire jusquau dernier centime ils ont utilise ce moyen et ont retire des millions sur les comptes des gens a partager avec tous vos proches source police secours,31-10-2025,Guy Roland Carlos
31-10-2025,Gilles Tapé,OLBCI,À part de partager quelle autre précautions peut on prendre pour éviter d'être volé ainsi??,danger danger larnaque electronique est entree dans les banques il faut se mefier notez comment ces arnaqueurs fonctionnent 1 ils utiliseront le nom de votre banque pour vous appeler par exemple uba boa ecobank societe generale orabank banque atlantique etc ils vous diront quils sont des agents de votre banque 2 ils vous diront que votre compte a des problemes 3 ils vous indiqueront votre numero de compte et le numero bvn 4 ils vous diront exactement la derniere transaction que vous avez faite ou vous lavez faite et votre dernier solde 5 le jour ou vous avez ouvert le compte et lemplacement 6 votre numero sur la carte atm mais pas le code secretcode pin atm 7 ils mentionneront vos noms et date de naissance 8 ils vous demanderont ensuite votre code pin atm ils peuvent meme vous donner les deux derniers chiffres sur votre carte atm si vous leur donnez le code secret code pin tout votre argent sera retire jusquau dernier centime ils ont utilise ce moyen et ont retire des millions sur les comptes des gens a partager avec tous vos proches source police secours,31-10-2025,Guy Roland Carlos
31-10-2025,Afua Asantewa N'Guetta,OLBCI,Votre code PIN ne devrait jamais être divulgué à qui que ce soit! Soyez vigilants.,danger danger larnaque electronique est entree dans les banques il faut se mefier notez comment ces arnaqueurs fonctionnent 1 ils utiliseront le nom de votre banque pour vous appeler par exemple uba boa ecobank societe generale orabank banque atlantique etc ils vous diront quils sont des agents de votre banque 2 ils vous diront que votre compte a des problemes 3 ils vous indiqueront votre numero de compte et le numero bvn 4 ils vous diront exactement la derniere transaction que vous avez faite ou vous lavez faite et votre dernier solde 5 le jour ou vous avez ouvert le compte et lemplacement 6 votre numero sur la carte atm mais pas le code secretcode pin atm 7 ils mentionneront vos noms et date de naissance 8 ils vous demanderont ensuite votre code pin atm ils peuvent meme vous donner les deux derniers chiffres sur votre carte atm si vous leur donnez le code secret code pin tout votre argent sera retire jusquau dernier centime ils ont utilise ce moyen et ont retire des millions sur les comptes des gens a partager avec tous vos proches source police secours,31-10-2025,Guy Roland Carlos
31-10-2025,Lea Amoikon,OLBCI,Mais pourquoi donner ses informations au téléphone ???,danger danger larnaque electronique est entree dans les banques il faut se mefier notez comment ces arnaqueurs fonctionnent 1 ils utiliseront le nom de votre banque pour vous appeler par exemple uba boa ecobank societe generale orabank banque atlantique etc ils vous diront quils sont des agents de votre banque 2 ils vous diront que votre compte a des problemes 3 ils vous indiqueront votre numero de compte et le numero bvn 4 ils vous diront exactement la derniere transaction que vous avez faite ou vous lavez faite et votre dernier solde 5 le jour ou vous avez ouvert le compte et lemplacement 6 votre numero sur la carte atm mais pas le code secretcode pin atm 7 ils mentionneront vos noms et date de naissance 8 ils vous demanderont ensuite votre code pin atm ils peuvent meme vous donner les deux derniers chiffres sur votre carte atm si vous leur donnez le code secret code pin tout votre argent sera retire jusquau dernier centime ils ont utilise ce moyen et ont retire des millions sur les comptes des gens a partager avec tous vos proches source police secours,31-10-2025,Guy Roland Carlos
31-10-2025,Evariste Nda,OLBCI,"Seul un idiot va donner son code à un individu au téléphone.... même physiquement, jamais",danger danger larnaque electronique est entree dans les banques il faut se mefier notez comment ces arnaqueurs fonctionnent 1 ils utiliseront le nom de votre banque pour vous appeler par exemple uba boa ecobank societe generale orabank banque atlantique etc ils vous diront quils sont des agents de votre banque 2 ils vous diront que votre compte a des problemes 3 ils vous indiqueront votre numero de compte et le numero bvn 4 ils vous diront exactement la derniere transaction que vous avez faite ou vous lavez faite et votre dernier solde 5 le jour ou vous avez ouvert le compte et lemplacement 6 votre numero sur la carte atm mais pas le code secretcode pin atm 7 ils mentionneront vos noms et date de naissance 8 ils vous demanderont ensuite votre code pin atm ils peuvent meme vous donner les deux derniers chiffres sur votre carte atm si vous leur donnez le code secret code pin tout votre argent sera retire jusquau dernier centime ils ont utilise ce moyen et ont retire des millions sur les comptes des gens a partager avec tous vos proches source police secours,31-10-2025,Guy Roland Carlos
01-11-2025,Kouakou Kouassi Eric,OLBCI,"Seul un idiot va donner son code pin ou secret à un inconnu...ils ont déjà essayé cela plusieurs fois avec moi, mais ça n’a jamais marché...je ne t’écoute plus dès que tu me parles de mon code PIN...Je reponds à tout sauf aux histoires de code.",danger danger larnaque electronique est entree dans les banques il faut se mefier notez comment ces arnaqueurs fonctionnent 1 ils utiliseront le nom de votre banque pour vous appeler par exemple uba boa ecobank societe generale orabank banque atlantique etc ils vous diront quils sont des agents de votre banque 2 ils vous diront que votre compte a des problemes 3 ils vous indiqueront votre numero de compte et le numero bvn 4 ils vous diront exactement la derniere transaction que vous avez faite ou vous lavez faite et votre dernier solde 5 le jour ou vous avez ouvert le compte et lemplacement 6 votre numero sur la carte atm mais pas le code secretcode pin atm 7 ils mentionneront vos noms et date de naissance 8 ils vous demanderont ensuite votre code pin atm ils peuvent meme vous donner les deux derniers chiffres sur votre carte atm si vous leur donnez le code secret code pin tout votre argent sera retire jusquau dernier centime ils ont utilise ce moyen et ont retire des millions sur les comptes des gens a partager avec tous vos proches source police secours,31-10-2025,Guy Roland Carlos
31-10-2025,Ton Banquier en ligne,OLBCI,"Vous avez essayé un retrait de 200k qui n’a pas abouti, c’est ça ?",defalcation anormale de la part de la sgci jai un reel souci avec la sgci le 03 octobre jai ete fait un retrait au guichet automatique de koumassi dans la soiree et une demande de 200000 avait ete lance et le serveur na pas donne suite jai decide de lancer a nouveau un retrait de 150000 et le 04 octobre je suis repartie pour un autre retrait de 150000 et cest de la je constate que jai ete defalque de 150000 jai alerte le gestionnaire qui ma ensuite dit quil yavait un dysfonctionnement et de patienter jusquau mardi 07 octobre pour entrer en possession des sous je me suis donc rendue le jeudi en agence et on me fait comprendre que jai retire les sous dans un autre guichet pendant quil ny avait plus dargent sur le compte et aussi on me dit que peut etre une autre personne proche est en possession de ma carte bancaire et mon code bancaire jai fais une reclamation et hier je recois une notification quil ny aura pas de suite a ma reclamation car il ny a pas de justificatifs de revenir en agence avec plus dinformations pourtant jai juste des captures decran des transactions societe generale de cotedivoire priere me restituer mon argent svp,31-10-2025,Djeneba Cecile Ouédraogo
31-10-2025,Maarya Soumahoro,OLBCI,Désolé pour ma soeur,defalcation anormale de la part de la sgci jai un reel souci avec la sgci le 03 octobre jai ete fait un retrait au guichet automatique de koumassi dans la soiree et une demande de 200000 avait ete lance et le serveur na pas donne suite jai decide de lancer a nouveau un retrait de 150000 et le 04 octobre je suis repartie pour un autre retrait de 150000 et cest de la je constate que jai ete defalque de 150000 jai alerte le gestionnaire qui ma ensuite dit quil yavait un dysfonctionnement et de patienter jusquau mardi 07 octobre pour entrer en possession des sous je me suis donc rendue le jeudi en agence et on me fait comprendre que jai retire les sous dans un autre guichet pendant quil ny avait plus dargent sur le compte et aussi on me dit que peut etre une autre personne proche est en possession de ma carte bancaire et mon code bancaire jai fais une reclamation et hier je recois une notification quil ny aura pas de suite a ma reclamation car il ny a pas de justificatifs de revenir en agence avec plus dinformations pourtant jai juste des captures decran des transactions societe generale de cotedivoire priere me restituer mon argent svp,31-10-2025,Djeneba Cecile Ouédraogo
31-10-2025,Constant Tchapo,OLBCI,"J'ose espérer que ce n'est pas un retrait déplacé. Si c'est le cas, vous avez beaucoup de démarches à faire.",defalcation anormale de la part de la sgci jai un reel souci avec la sgci le 03 octobre jai ete fait un retrait au guichet automatique de koumassi dans la soiree et une demande de 200000 avait ete lance et le serveur na pas donne suite jai decide de lancer a nouveau un retrait de 150000 et le 04 octobre je suis repartie pour un autre retrait de 150000 et cest de la je constate que jai ete defalque de 150000 jai alerte le gestionnaire qui ma ensuite dit quil yavait un dysfonctionnement et de patienter jusquau mardi 07 octobre pour entrer en possession des sous je me suis donc rendue le jeudi en agence et on me fait comprendre que jai retire les sous dans un autre guichet pendant quil ny avait plus dargent sur le compte et aussi on me dit que peut etre une autre personne proche est en possession de ma carte bancaire et mon code bancaire jai fais une reclamation et hier je recois une notification quil ny aura pas de suite a ma reclamation car il ny a pas de justificatifs de revenir en agence avec plus dinformations pourtant jai juste des captures decran des transactions societe generale de cotedivoire priere me restituer mon argent svp,31-10-2025,Djeneba Cecile Ouédraogo
31-10-2025,Yaya Tiote,OLBCI,Je vais vider mon compte à la sgci..il y a trop de plaintes de ce genre et ce n'est pas fait pour rassurer les clients.. Toujours il y a un dysfonctionnement de leur système informatique... c'est désagréable pour les clients...,defalcation anormale de la part de la sgci jai un reel souci avec la sgci le 03 octobre jai ete fait un retrait au guichet automatique de koumassi dans la soiree et une demande de 200000 avait ete lance et le serveur na pas donne suite jai decide de lancer a nouveau un retrait de 150000 et le 04 octobre je suis repartie pour un autre retrait de 150000 et cest de la je constate que jai ete defalque de 150000 jai alerte le gestionnaire qui ma ensuite dit quil yavait un dysfonctionnement et de patienter jusquau mardi 07 octobre pour entrer en possession des sous je me suis donc rendue le jeudi en agence et on me fait comprendre que jai retire les sous dans un autre guichet pendant quil ny avait plus dargent sur le compte et aussi on me dit que peut etre une autre personne proche est en possession de ma carte bancaire et mon code bancaire jai fais une reclamation et hier je recois une notification quil ny aura pas de suite a ma reclamation car il ny a pas de justificatifs de revenir en agence avec plus dinformations pourtant jai juste des captures decran des transactions societe generale de cotedivoire priere me restituer mon argent svp,31-10-2025,Djeneba Cecile Ouédraogo
31-10-2025,Alexis Akpangni,OLBCI,Il faut forcément envoyé le reçu. On enregistre le numéro du reçu dans la réclamation,defalcation anormale de la part de la sgci jai un reel souci avec la sgci le 03 octobre jai ete fait un retrait au guichet automatique de koumassi dans la soiree et une demande de 200000 avait ete lance et le serveur na pas donne suite jai decide de lancer a nouveau un retrait de 150000 et le 04 octobre je suis repartie pour un autre retrait de 150000 et cest de la je constate que jai ete defalque de 150000 jai alerte le gestionnaire qui ma ensuite dit quil yavait un dysfonctionnement et de patienter jusquau mardi 07 octobre pour entrer en possession des sous je me suis donc rendue le jeudi en agence et on me fait comprendre que jai retire les sous dans un autre guichet pendant quil ny avait plus dargent sur le compte et aussi on me dit que peut etre une autre personne proche est en possession de ma carte bancaire et mon code bancaire jai fais une reclamation et hier je recois une notification quil ny aura pas de suite a ma reclamation car il ny a pas de justificatifs de revenir en agence avec plus dinformations pourtant jai juste des captures decran des transactions societe generale de cotedivoire priere me restituer mon argent svp,31-10-2025,Djeneba Cecile Ouédraogo
01-11-2025,Estelle Brou,OLBCI,Pour ce que je connais les 7150 sont repartis comme suit : agios=4950 et SG connect= 2200. Ce qui n'a rien à avoir avec les frais de la carte magnétique qui sont prélevés par an.,jai un veritable souci avec la sgbci depuis 2018 jai fais louverture de compte a abobo gare je nai pas souscrit a lun de leurs produits a part lapplication sg connect mais chaque fin du mois la banque me coupe 7150f sur mon salaire et quand jen parle ma gestionnaire me dit que cest normal on ne me donne pas de raison valable pourtant jai fais louverture de compte avec dautres personnes qui nont pas les prelevements que moi en quoi estce que cest normal svp aidezmoi,01-11-2025,Teneba Sogodogo Epse Tuo
01-11-2025,Dkonaté Chef de Tribu,OLBCI,"Bonjour très cher, je veux essayer d'apporter juste ma modeste contribution. Les 7150 sauf erreur de ma part constitue les différents frais de tenue de compte à savoir: Agios, frais SG connect, frais de carte bancaire qui sont splitter par mois pour tous nouveaux clients SGCI là où les anciens clients sont prélevés un fois par an pour la carte, chaque mois pour les agios et autres frais de consultation de compte. Donc si je ne m'abuse c'est ce montant annuel qui est reparti par mois et qui donne les 7150.",jai un veritable souci avec la sgbci depuis 2018 jai fais louverture de compte a abobo gare je nai pas souscrit a lun de leurs produits a part lapplication sg connect mais chaque fin du mois la banque me coupe 7150f sur mon salaire et quand jen parle ma gestionnaire me dit que cest normal on ne me donne pas de raison valable pourtant jai fais louverture de compte avec dautres personnes qui nont pas les prelevements que moi en quoi estce que cest normal svp aidezmoi,01-11-2025,Teneba Sogodogo Epse Tuo
02-11-2025,Blegbé Grouinin,OLBCI,"Ma sœur , viens chez nous, à la banque du tresor, on dort à l'aise.",jai un veritable souci avec la sgbci depuis 2018 jai fais louverture de compte a abobo gare je nai pas souscrit a lun de leurs produits a part lapplication sg connect mais chaque fin du mois la banque me coupe 7150f sur mon salaire et quand jen parle ma gestionnaire me dit que cest normal on ne me donne pas de raison valable pourtant jai fais louverture de compte avec dautres personnes qui nont pas les prelevements que moi en quoi estce que cest normal svp aidezmoi,01-11-2025,Teneba Sogodogo Epse Tuo
01-11-2025,Bourahima Accra Kouôdjeni Ouattara,OLBCI,"Si vous avez remarqué vous ne payez pas d'agios ou vous payez des petits montantsxau titre des agios. Votre compte a été ouvert en Pack. C'est le tarif d'un pack qui est de 7 150 FCFA et il comprend les frais de carte, les frais de SG CONNECT, les AGIOS et CERTICOMPTE.",jai un veritable souci avec la sgbci depuis 2018 jai fais louverture de compte a abobo gare je nai pas souscrit a lun de leurs produits a part lapplication sg connect mais chaque fin du mois la banque me coupe 7150f sur mon salaire et quand jen parle ma gestionnaire me dit que cest normal on ne me donne pas de raison valable pourtant jai fais louverture de compte avec dautres personnes qui nont pas les prelevements que moi en quoi estce que cest normal svp aidezmoi,01-11-2025,Teneba Sogodogo Epse Tuo
02-11-2025,Yoro VH Gbah,OLBCI,"Si tu as SGconnect, il faut résilier celui ci",sgci ca fait 2 mois maintenant que je constate ce prelevement je ne sais pas a quoi ca correspond je serai dans vos locaux demain pour plus ample information ,02-11-2025,Ble Diallo
02-11-2025,Gédéon Afran,OLBCI,J ai souscrit à ça mais je ne reçois pas de message.SGCI c est mal les connaître,sgci ca fait 2 mois maintenant que je constate ce prelevement je ne sais pas a quoi ca correspond je serai dans vos locaux demain pour plus ample information ,02-11-2025,Ble Diallo
02-11-2025,Arsene Zoh,OLBCI,"Ils vont te convaincre jusqu'à, avant de te lever, tu vas leur dire ''MERCI. ''",sgci ca fait 2 mois maintenant que je constate ce prelevement je ne sais pas a quoi ca correspond je serai dans vos locaux demain pour plus ample information ,02-11-2025,Ble Diallo
02-11-2025,Yoro VH Gbah,OLBCI,Humm,sgci ca fait 2 mois maintenant que je constate ce prelevement je ne sais pas a quoi ca correspond je serai dans vos locaux demain pour plus ample information ,02-11-2025,Ble Diallo
02-11-2025,Djibami Koné,OLBCI,"Service SMS de
Société Générale Côte d’Ivoire",sgci ca fait 2 mois maintenant que je constate ce prelevement je ne sais pas a quoi ca correspond je serai dans vos locaux demain pour plus ample information ,02-11-2025,Ble Diallo
02-11-2025,Thomas Boti,OLBCI,"On cher, ils auront toujours raison sur nous...",sgci ca fait 2 mois maintenant que je constate ce prelevement je ne sais pas a quoi ca correspond je serai dans vos locaux demain pour plus ample information ,02-11-2025,Ble Diallo
02-11-2025,Arsene Zoh,OLBCI,"Ils vont te convaincre jusqu'àaaa, avant de te lever, tu vas leur dire ''MERCI. ''",sgci ca fait 2 mois maintenant que je constate ce prelevement je ne sais pas a quoi ca correspond je serai dans vos locaux demain pour plus ample information ,02-11-2025,Ble Diallo
04-11-2025,Kadio Eric Ehouman,OLBCI,Je suis plus à la SGCI mais je veux avoir mon PRZ Comment faire? Cotisation de 5 année,sgci ca fait 2 mois maintenant que je constate ce prelevement je ne sais pas a quoi ca correspond je serai dans vos locaux demain pour plus ample information ,02-11-2025,Ble Diallo
05-11-2025,Ton Banquier en ligne,OLBCI,Aucun ? C’est fort einh.,bjr quelquun peut mexpliquer cmt ca se fait que chaque debut de semaine cad chaque lundi matin aucun gab de la sgbci banque nest operationnel ,04-11-2025,Donnie Brasco
05-11-2025,Donnie Brasco,OLBCI,"Ton Banquier en ligne
ds tt Abj pr le reste du pays je ne sais pas mais à baby seulement plusieurs fois j'ai fais la remarque tous les lundis matin là plupart d'entre eux sont indisponibles",bjr quelquun peut mexpliquer cmt ca se fait que chaque debut de semaine cad chaque lundi matin aucun gab de la sgbci banque nest operationnel ,04-11-2025,Donnie Brasco
13-08-2025,Brou N'guessan Gregoire,OLBCI,Le mien a fait 3 jours.,pour un rachat avec le pel a societe generale cote divoire cela peut prendre combien de temps svp,09-08-2025,Djibami Koné
13-08-2025,Djibami Koné,OLBCI,Okay merci à tous car les réponses sont différentes heinn,pour un rachat avec le pel a societe generale cote divoire cela peut prendre combien de temps svp,09-08-2025,Djibami Koné
13-08-2025,Koualy Dekli,OLBCI,Remboursement anticipé du prêt avec le PEL dure 3 jours,pour un rachat avec le pel a societe generale cote divoire cela peut prendre combien de temps svp,09-08-2025,Djibami Koné
13-08-2025,Miliè Bekan,OLBCI,Trop 9 jours,pour un rachat avec le pel a societe generale cote divoire cela peut prendre combien de temps svp,09-08-2025,Djibami Koné
13-08-2025,Namory Kone,OLBCI,Tout au plus 48h,pour un rachat avec le pel a societe generale cote divoire cela peut prendre combien de temps svp,09-08-2025,Djibami Koné
13-08-2025,Denos Lenoble Anoh,OLBCI,J'en fais aussi ma gestionnaire m'a dit un mois.,pour un rachat avec le pel a societe generale cote divoire cela peut prendre combien de temps svp,09-08-2025,Djibami Koné
13-08-2025,Digré Guillaume Djahoué,OLBCI,"Les banques ne le font plus, cela n'est plus faisable",pour un rachat avec le pel a societe generale cote divoire cela peut prendre combien de temps svp,09-08-2025,Djibami Koné
13-08-2025,Trésor's Toure,OLBCI,21 jours ouvrables maximum,pour un rachat avec le pel a societe generale cote divoire cela peut prendre combien de temps svp,09-08-2025,Djibami Koné
13-08-2025,Issouf Bouda Traoré,OLBCI,"Tout au plus 5 jours , d'après ma gestionnaire oooooh .",pour un rachat avec le pel a societe generale cote divoire cela peut prendre combien de temps svp,09-08-2025,Djibami Koné
13-08-2025,Yoyo Totchoui Pascal,OLBCI,Svp PEL c’est quoi???,pour un rachat avec le pel a societe generale cote divoire cela peut prendre combien de temps svp,09-08-2025,Djibami Koné
04-11-2025,Libleu Gustave Ligoh,OLBCI,"Aucune satisfaction, j'ai déposé mon dossier pour l'obtention du capital décès de mon père depuis le 7 octobre et jusque-là,je n'ai rien reçu..",salut a tousque pensezvous de lassurance yaconfort de la sgci ,08-10-2025,Dakoury Achille Lagbre
28-05-2025,Kouame Ange Kadjo,OLBCI,C est possible il faut 72 h jour ouvrés pour recevoir l argent sur djamo,svp comment transferer son argent de la sgci via djamo svp montrez moi certains disent que ce st possible svp je suis fatigue de faire rang sur un seul guichet chaque fin du mois,28-05-2025,Noel Pichichi
