horodatage_run,source_page,ligne_lot,motif,brute_facebook,date_appliquee,auteur,apercu_commentaire
2026-04-06 10:13:13,page_BACI,2,parse_echec,Amadou Diarra,06-04-2026,Amadou Diarra,J'ai été débité à tort plusieurs fois et qu'on me rembourse mon argent.même aujourd'hui j'ai été débité de 24 mille sur 
2026-04-06 10:13:13,page_BACI,3,parse_echec,Banque Atlantique Côte d'Ivoire,06-04-2026,Banque Atlantique Côte d'Ivoire au commentaire de Amadou Diarra,Amadou Diarra Prière de vous rapprocher de votre Conseiller clientèle pour une meilleure prise en charge de votre préocc
2026-04-06 10:13:13,page_BACI,4,parse_echec,Mantowee Marie-Elodie Zégbé,06-04-2026,Mantowee Marie-Elodie Zégbé,Qu'est-ce que le crédit conso et quel est le taux ?
2026-04-06 10:13:13,page_BACI,5,parse_echec,Mantowee Marie-Elodie Zégbé,06-04-2026,Mantowee Marie-Elodie Zégbé,Qu'est-ce que le crédit conso
2026-04-06 10:13:13,page_BACI,6,parse_echec,Banque Atlantique Côte d'Ivoire,06-04-2026,Banque Atlantique Côte d'Ivoire au commentaire de Mantowee Marie-Elodie Zégbé,"Mantowee Marie-Elodie Zégbé Bonjour, prière de contacter notre Centre de Relation Client au 1320 ou 2722549800 pour une "
2026-04-06 10:13:13,page_BACI,7,parse_echec,Cyrille Mahegnon,06-04-2026,Cyrille Mahegnon,Expliquez moi tous ces prélèvements
2026-04-06 10:13:13,page_BACI,8,parse_echec,Banque Atlantique Côte d'Ivoire,06-04-2026,Banque Atlantique Côte d'Ivoire au commentaire de Cyrille Mahegnon,Cyrille Mahegnon Prière de vous rapprocher de votre Conseiller clientèle pour une meilleure prise en charge de votre pré
2026-04-06 10:13:13,page_BACI,9,parse_echec,Noël Dagou,06-04-2026,Noël Dagou au commentaire de Cyrille Mahegnon,Cyrille Mahegnon cherche à rencontrer ton gestionnaire
2026-04-06 10:13:13,page_BACI,10,parse_echec,Cyrille Mahegnon,06-04-2026,Cyrille Mahegnon à la réponse de Noël Dagou,Noël Dagou
2026-04-06 10:13:13,page_BACI,11,parse_echec,Bass Asso,06-04-2026,Bass Asso,Aider nous aussi à bénéficier
2026-04-06 10:13:13,page_BACI,12,parse_echec,IBRA Service,06-04-2026,IBRA Service,merci
2026-05-13 08:17:23,page_BNI,1,parse_echec,Mai Bamba,13-05-2026,Mai Bamba,Quels est la procédure à suivre pour l'ouverture d'un compte courant bni.
2026-06-19 09:05:30,page_NSIA,6,parse_echec,Augustin Togla,19-06-2026,Augustin Togla au commentaire de Junior Aboya,Junior Aboya Exact
2026-07-03 18:28:39,page_ecobank,7,parse_echec,Maissone Marc Aurele,03-07-2026,Maissone Marc Aurele,La carte Cash Xpress produit ecobank coûte que 10.000Fcfa je dis bien uniquement qu a 10.000FCFA
2026-07-03 18:33:38,page_ecobank,7,parse_echec,Maissone Marc Aurele,03-07-2026,Maissone Marc Aurele,La carte Cash Xpress produit ecobank coûte que 10.000Fcfa je dis bien uniquement qu a 10.000FCFA
2026-07-06 08:23:08,page_ecobank,7,parse_echec,Maissone Marc Aurele,06-07-2026,Maissone Marc Aurele,La carte Cash Xpress produit ecobank coûte que 10.000Fcfa je dis bien uniquement qu a 10.000FCFA
2026-07-27 10:23:06,page_sgci,6,parse_echec,Corine Aboua Ago,27-07-2026,Corine Aboua,"Meilleur gestionnaire Mme Deugo anciennement en service a l agence de Dabou , très très accueillante et c'est vraiment u"
